,Family name,Family,Subfamily,Common name,Scientific name,2022 IUCN Red List category
0,Struthionidae,Ostriches,,Common Ostrich,Struthio camelus,LC
1,Struthionidae,Ostriches,,Somali Ostrich,Struthio molybdophanes,VU
2,Rheidae,Rheas,,Greater Rhea,Rhea americana,NT
3,Rheidae,Rheas,,Lesser Rhea,Rhea pennata,LC
4,Rheidae,Rheas,,Puna Rhea,Rhea tarapacensis,NT
5,Tinamidae,Tinamous,,Tawny-breasted Tinamou,Nothocercus julius,LC
6,Tinamidae,Tinamous,,Highland Tinamou,Nothocercus bonapartei,LC
7,Tinamidae,Tinamous,,Hooded Tinamou,Nothocercus nigrocapillus,LC
8,Tinamidae,Tinamous,,Grey Tinamou,Tinamus tao,VU
9,Tinamidae,Tinamous,,Solitary Tinamou,Tinamus solitarius,NT
10,Tinamidae,Tinamous,,Black Tinamou,Tinamus osgoodi,VU
11,Tinamidae,Tinamous,,Great Tinamou,Tinamus major,LC
12,Tinamidae,Tinamous,,White-throated Tinamou,Tinamus guttatus,NT
13,Tinamidae,Tinamous,,Berlepsch's Tinamou,Crypturellus berlepschi,LC
14,Tinamidae,Tinamous,,Cinereous Tinamou,Crypturellus cinereus,LC
15,Tinamidae,Tinamous,,Tepui Tinamou,Crypturellus ptaritepui,LC
16,Tinamidae,Tinamous,,Little Tinamou,Crypturellus soui,LC
17,Tinamidae,Tinamous,,Brown Tinamou,Crypturellus obsoletus,LC
18,Tinamidae,Tinamous,,Undulated Tinamou,Crypturellus undulatus,LC
19,Tinamidae,Tinamous,,Brazilian Tinamou,Crypturellus strigulosus,LC
20,Tinamidae,Tinamous,,Grey-legged Tinamou,Crypturellus duidae,LC
21,Tinamidae,Tinamous,,Red-legged Tinamou,Crypturellus erythropus,LC
22,Tinamidae,Tinamous,,Yellow-legged Tinamou,Crypturellus noctivagus,NT
23,Tinamidae,Tinamous,,Black-capped Tinamou,Crypturellus atrocapillus,LC
24,Tinamidae,Tinamous,,Western Thicket Tinamou,Crypturellus occidentalis,LC
25,Tinamidae,Tinamous,,Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC
26,Tinamidae,Tinamous,,Pale-browed Tinamou,Crypturellus transfasciatus,NT
27,Tinamidae,Tinamous,,Slaty-breasted Tinamou,Crypturellus boucardi,VU
28,Tinamidae,Tinamous,,Choco Tinamou,Crypturellus kerriae,VU
29,Tinamidae,Tinamous,,Variegated Tinamou,Crypturellus variegatus,LC
30,Tinamidae,Tinamous,,Rusty Tinamou,Crypturellus brevirostris,LC
31,Tinamidae,Tinamous,,Bartlett's Tinamou,Crypturellus bartletti,LC
32,Tinamidae,Tinamous,,Barred Tinamou,Crypturellus casiquiare,LC
33,Tinamidae,Tinamous,,Small-billed Tinamou,Crypturellus parvirostris,LC
34,Tinamidae,Tinamous,,Tataupa Tinamou,Crypturellus tataupa,LC
35,Tinamidae,Tinamous,,Red-winged Tinamou,Rhynchotus rufescens,LC
36,Tinamidae,Tinamous,,Huayco Tinamou,Rhynchotus maculicollis,LC
37,Tinamidae,Tinamous,,Taczanowski's Tinamou,Nothoprocta taczanowskii,VU
38,Tinamidae,Tinamous,,Ornate Tinamou,Nothoprocta ornata,LC
39,Tinamidae,Tinamous,,Chilean Tinamou,Nothoprocta perdicaria,LC
40,Tinamidae,Tinamous,,Brushland Tinamou,Nothoprocta cinerascens,LC
41,Tinamidae,Tinamous,,Andean Tinamou,Nothoprocta pentlandii,LC
42,Tinamidae,Tinamous,,Curve-billed Tinamou,Nothoprocta curvirostris,LC
43,Tinamidae,Tinamous,,White-bellied Nothura,Nothura boraquira,LC
44,Tinamidae,Tinamous,,Lesser Nothura,Nothura minor,VU
45,Tinamidae,Tinamous,,Darwin's Nothura,Nothura darwinii,LC
46,Tinamidae,Tinamous,,Spotted Nothura,Nothura maculosa,LC
47,Tinamidae,Tinamous,,Dwarf Tinamou,Taoniscus nanus,EN
48,Tinamidae,Tinamous,,Elegant Crested Tinamou,Eudromia elegans,LC
49,Tinamidae,Tinamous,,Quebracho Crested Tinamou,Eudromia formosa,LC
50,Tinamidae,Tinamous,,Puna Tinamou,Tinamotis pentlandii,LC
51,Tinamidae,Tinamous,,Patagonian Tinamou,Tinamotis ingoufi,LC
52,Casuariidae,"Cassowaries, Emus",,Southern Cassowary,Casuarius casuarius,LC
53,Casuariidae,"Cassowaries, Emus",,Dwarf Cassowary,Casuarius bennetti,LC
54,Casuariidae,"Cassowaries, Emus",,Northern Cassowary,Casuarius unappendiculatus,LC
55,Casuariidae,"Cassowaries, Emus",,Common Emu,Dromaius novaehollandiae,LC
56,Casuariidae,"Cassowaries, Emus",,King Island Emu,Dromaius minor,EX
57,Casuariidae,"Cassowaries, Emus",,Kangaroo Island Emu,Dromaius baudinianus,EX
58,Apterygidae,Kiwis,,Great Spotted Kiwi,Apteryx haastii,VU
59,Apterygidae,Kiwis,,Little Spotted Kiwi,Apteryx owenii,NT
60,Apterygidae,Kiwis,,North Island Brown Kiwi,Apteryx mantelli,VU
61,Apterygidae,Kiwis,,Southern Brown Kiwi,Apteryx australis,VU
62,Apterygidae,Kiwis,,Okarito Kiwi,Apteryx rowi,VU
63,Megapodiidae,Megapodes,,Australian Brush-turkey,Alectura lathami,LC
64,Megapodiidae,Megapodes,,Wattled Brush-turkey,Aepypodius arfakianus,LC
65,Megapodiidae,Megapodes,,Waigeo Brush-turkey,Aepypodius bruijnii,EN
66,Megapodiidae,Megapodes,,Red-billed Brush-turkey,Talegalla cuvieri,LC
67,Megapodiidae,Megapodes,,Black-billed Brush-turkey,Talegalla fuscirostris,LC
68,Megapodiidae,Megapodes,,Collared Brush-turkey,Talegalla jobiensis,LC
69,Megapodiidae,Megapodes,,Malleefowl,Leipoa ocellata,VU
70,Megapodiidae,Megapodes,,Maleo,Macrocephalon maleo,CR
71,Megapodiidae,Megapodes,,Moluccan Scrubfowl,Eulipoa wallacei,VU
72,Megapodiidae,Megapodes,,Nicobar Scrubfowl,Megapodius nicobariensis,VU
73,Megapodiidae,Megapodes,,Philippine Scrubfowl,Megapodius cumingii,LC
74,Megapodiidae,Megapodes,,Sula Scrubfowl,Megapodius bernsteinii,VU
75,Megapodiidae,Megapodes,,Tanimbar Scrubfowl,Megapodius tenimberensis,VU
76,Megapodiidae,Megapodes,,Vanuatu Scrubfowl,Megapodius layardi,VU
77,Megapodiidae,Megapodes,,Micronesian Scrubfowl,Megapodius laperouse,NT
78,Megapodiidae,Megapodes,,Tongan Scrubfowl,Megapodius pritchardii,VU
79,Megapodiidae,Megapodes,,Dusky Scrubfowl,Megapodius freycinet,LC
80,Megapodiidae,Megapodes,,Biak Scrubfowl,Megapodius geelvinkianus,NT
81,Megapodiidae,Megapodes,,New Guinea Scrubfowl,Megapodius decollatus,LC
82,Megapodiidae,Megapodes,,Melanesian Scrubfowl,Megapodius eremita,LC
83,Megapodiidae,Megapodes,,Orange-footed Scrubfowl,Megapodius reinwardt,LC
84,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Black Guan,Chamaepetes unicolor,LC
85,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Sickle-winged Guan,Chamaepetes goudotii,LC
86,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Highland Guan,Penelopina nigra,VU
87,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Band-tailed Guan,Penelope argyrotis,LC
88,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Bearded Guan,Penelope barbata,NT
89,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Baudo Guan,Penelope ortoni,EN
90,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Andean Guan,Penelope montagnii,LC
91,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Marail Guan,Penelope marail,LC
92,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Rusty-margined Guan,Penelope superciliaris,NT
93,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Red-faced Guan,Penelope dabbenei,LC
94,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Spix's Guan,Penelope jacquacu,LC
95,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Crested Guan,Penelope purpurascens,NT
96,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Cauca Guan,Penelope perspicax,VU
97,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,White-winged Guan,Penelope albipennis,EN
98,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Dusky-legged Guan,Penelope obscura,LC
99,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,White-crested Guan,Penelope pileata,VU
100,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Chestnut-bellied Guan,Penelope ochrogaster,VU
101,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,White-browed Guan,Penelope jacucaca,VU
102,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Trinidad Piping-guan,Pipile pipile,CR
103,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Blue-throated Piping-guan,Pipile cumanensis,LC
104,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,White-throated Piping-guan,Pipile grayi,NT
105,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Red-throated Piping-guan,Pipile cujubi,VU
106,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Black-fronted Piping-guan,Pipile jacutinga,EN
107,Cracidae,"Guans, Chachalacas, Curassows",Penelopinae,Wattled Guan,Aburria aburri,NT
108,Cracidae,"Guans, Chachalacas, Curassows",Oreophaseinae,Horned Guan,Oreophasis derbianus,EN
109,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Plain Chachalaca,Ortalis vetula,LC
110,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Grey-headed Chachalaca,Ortalis cinereiceps,LC
111,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Chestnut-winged Chachalaca,Ortalis garrula,LC
112,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Rufous-vented Chachalaca,Ortalis ruficauda,LC
113,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Rufous-headed Chachalaca,Ortalis erythroptera,VU
114,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Rufous-bellied Chachalaca,Ortalis wagleri,LC
115,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,West Mexican Chachalaca,Ortalis poliocephala,LC
116,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Chaco Chachalaca,Ortalis canicollis,LC
117,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,White-bellied Chachalaca,Ortalis leucogastra,LC
118,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Colombian Chachalaca,Ortalis columbiana,LC
119,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Speckled Chachalaca,Ortalis guttata,LC
120,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,East Brazilian Chachalaca,Ortalis araucuan,LC
121,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Scaled Chachalaca,Ortalis squamata,LC
122,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Little Chachalaca,Ortalis motmot,LC
123,Cracidae,"Guans, Chachalacas, Curassows",Ortalisinae,Buff-browed Chachalaca,Ortalis superciliaris,LC
124,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Nocturnal Curassow,Nothocrax urumutum,LC
125,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Great Curassow,Crax rubra,VU
126,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Blue-billed Curassow,Crax alberti,CR
127,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Yellow-knobbed Curassow,Crax daubentoni,NT
128,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Black Curassow,Crax alector,LC
129,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Bare-faced Curassow,Crax fasciolata,VU
130,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Belem Curassow,Crax pinima,CR
131,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Wattled Curassow,Crax globulosa,EN
132,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Red-billed Curassow,Crax blumenbachii,EN
133,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Crestless Curassow,Mitu tomentosum,NT
134,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Alagoas Curassow,Mitu mitu,EW
135,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Razor-billed Curassow,Mitu tuberosum,NT
136,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Salvin's Curassow,Mitu salvini,LC
137,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Horned Curassow,Pauxi unicornis,CR
138,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Sira Curassow,Pauxi koepckeae,CR
139,Cracidae,"Guans, Chachalacas, Curassows",Cracinae,Helmeted Curassow,Pauxi pauxi,EN
140,Numididae,Guineafowl,,Helmeted Guineafowl,Numida meleagris,LC
141,Numididae,Guineafowl,,White-breasted Guineafowl,Agelastes meleagrides,VU
142,Numididae,Guineafowl,,Black Guineafowl,Agelastes niger,LC
143,Numididae,Guineafowl,,Vulturine Guineafowl,Acryllium vulturinum,LC
144,Numididae,Guineafowl,,Plumed Guineafowl,Guttera plumifera,LC
145,Numididae,Guineafowl,,Western Crested Guineafowl,Guttera verreauxi,LC
146,Numididae,Guineafowl,,Eastern Crested Guineafowl,Guttera pucherani,LC
147,Numididae,Guineafowl,,Southern Crested Guineafowl,Guttera edouardi,LC
148,Odontophoridae,New World Quails,Ptilopachinae,Stone Partridge,Ptilopachus petrosus,LC
149,Odontophoridae,New World Quails,Ptilopachinae,Nahan's Partridge,Ptilopachus nahani,VU
150,Odontophoridae,New World Quails,Odontophorinae,Banded Quail,Philortyx fasciatus,LC
151,Odontophoridae,New World Quails,Odontophorinae,Mountain Quail,Oreortyx pictus,LC
152,Odontophoridae,New World Quails,Odontophorinae,Northern Bobwhite,Colinus virginianus,NT
153,Odontophoridae,New World Quails,Odontophorinae,Black-throated Bobwhite,Colinus nigrogularis,LC
154,Odontophoridae,New World Quails,Odontophorinae,Spot-bellied Bobwhite,Colinus leucopogon,LC
155,Odontophoridae,New World Quails,Odontophorinae,Crested Bobwhite,Colinus cristatus,LC
156,Odontophoridae,New World Quails,Odontophorinae,Scaled Quail,Callipepla squamata,LC
157,Odontophoridae,New World Quails,Odontophorinae,Elegant Quail,Callipepla douglasii,LC
158,Odontophoridae,New World Quails,Odontophorinae,Gambel's Quail,Callipepla gambelii,LC
159,Odontophoridae,New World Quails,Odontophorinae,California Quail,Callipepla californica,LC
160,Odontophoridae,New World Quails,Odontophorinae,Bearded Wood-partridge,Dendrortyx barbatus,VU
161,Odontophoridae,New World Quails,Odontophorinae,Long-tailed Wood-partridge,Dendrortyx macroura,LC
162,Odontophoridae,New World Quails,Odontophorinae,Buffy-crowned Wood-partridge,Dendrortyx leucophrys,LC
163,Odontophoridae,New World Quails,Odontophorinae,Marbled Wood-quail,Odontophorus gujanensis,LC
164,Odontophoridae,New World Quails,Odontophorinae,Spot-winged Wood-quail,Odontophorus capueira,LC
165,Odontophoridae,New World Quails,Odontophorinae,Black-eared Wood-quail,Odontophorus melanotis,NT
166,Odontophoridae,New World Quails,Odontophorinae,Rufous-fronted Wood-quail,Odontophorus erythrops,LC
167,Odontophoridae,New World Quails,Odontophorinae,Black-fronted Wood-quail,Odontophorus atrifrons,VU
168,Odontophoridae,New World Quails,Odontophorinae,Chestnut Wood-quail,Odontophorus hyperythrus,LC
169,Odontophoridae,New World Quails,Odontophorinae,Dark-backed Wood-quail,Odontophorus melanonotus,VU
170,Odontophoridae,New World Quails,Odontophorinae,Rufous-breasted Wood-quail,Odontophorus speciosus,LC
171,Odontophoridae,New World Quails,Odontophorinae,Tacarcuna Wood-quail,Odontophorus dialeucos,LC
172,Odontophoridae,New World Quails,Odontophorinae,Gorgeted Wood-quail,Odontophorus strophium,VU
173,Odontophoridae,New World Quails,Odontophorinae,Venezuelan Wood-quail,Odontophorus columbianus,NT
174,Odontophoridae,New World Quails,Odontophorinae,Black-breasted Wood-quail,Odontophorus leucolaemus,LC
175,Odontophoridae,New World Quails,Odontophorinae,Stripe-faced Wood-quail,Odontophorus balliviani,LC
176,Odontophoridae,New World Quails,Odontophorinae,Starred Wood-quail,Odontophorus stellatus,LC
177,Odontophoridae,New World Quails,Odontophorinae,Spotted Wood-quail,Odontophorus guttatus,LC
178,Odontophoridae,New World Quails,Odontophorinae,Tawny-faced Quail,Rhynchortyx cinctus,NT
179,Odontophoridae,New World Quails,Odontophorinae,Singing Quail,Dactylortyx thoracicus,LC
180,Odontophoridae,New World Quails,Odontophorinae,Montezuma Quail,Cyrtonyx montezumae,LC
181,Odontophoridae,New World Quails,Odontophorinae,Spot-breasted Quail,Cyrtonyx sallei,NT
182,Odontophoridae,New World Quails,Odontophorinae,Ocellated Quail,Cyrtonyx ocellatus,VU
183,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Udzungwa Forest-partridge,Xenoperdix udzungwensis,EN
184,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Crested Partridge,Rollulus rouloul,VU
185,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Hill Partridge,Arborophila torqueola,LC
186,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Rufous-throated Partridge,Arborophila rufogularis,LC
187,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,White-cheeked Partridge,Arborophila atrogularis,NT
188,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Taiwan Partridge,Arborophila crudigularis,LC
189,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Chestnut-breasted Partridge,Arborophila mandellii,NT
190,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Bar-backed Partridge,Arborophila brunneopectus,LC
191,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Sichuan Partridge,Arborophila rufipectus,EN
192,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Collared Partridge,Arborophila gingica,NT
193,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Orange-necked Partridge,Arborophila davidi,NT
194,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Chestnut-headed Partridge,Arborophila cambodiana,LC
195,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Malay Partridge,Arborophila campbelli,LC
196,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Tan-breasted Partridge,Arborophila rolli,LC
197,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Sumatran Partridge,Arborophila sumatrana,LC
198,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,White-faced Partridge,Arborophila orientalis,VU
199,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Chestnut-bellied Partridge,Arborophila javanica,LC
200,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Red-billed Partridge,Arborophila rubrirostris,LC
201,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Bornean Partridge,Arborophila hyperythra,LC
202,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Hainan Partridge,Arborophila ardens,VU
203,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Green-legged Partridge,Tropicoperdix chloropus,LC
204,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Tonkin Partridge,Tropicoperdix tonkinensis,LC
205,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Chestnut-necklaced Partridge,Tropicoperdix charltonii,VU
206,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Sabah Partridge,Tropicoperdix graydoni,NT
207,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Long-billed Partridge,Rhizothera longirostris,NT
208,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Dulit Partridge,Rhizothera dulitensis,VU
209,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Black Partridge,Melanoperdix niger,VU
210,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae,Crimson-headed Partridge,Haematortyx sanguiniceps,LC
211,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae: incertae sedis,Ferruginous Partridge,Caloperdix oculeus,NT
212,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae: incertae sedis,Red Spurfowl,Galloperdix spadicea,LC
213,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae: incertae sedis,Painted Spurfowl,Galloperdix lunulata,LC
214,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Rollulinae: incertae sedis,Sri Lanka Spurfowl,Galloperdix bicalcarata,LC
215,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Congo Peafowl,Afropavo congensis,NT
216,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Indian Peafowl,Pavo cristatus,LC
217,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Green Peafowl,Pavo muticus,EN
218,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Great Argus,Argusianus argus,VU
219,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Vietnamese Crested Argus,Rheinardia ocellata,CR
220,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Malaysian Crested Argus,Rheinardia nigrescens,NT
221,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Palawan Peacock-pheasant,Polyplectron napoleonis,VU
222,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Malay Peacock-pheasant,Polyplectron malacense,EN
223,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Bornean Peacock-pheasant,Polyplectron schleiermacheri,EN
224,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Germain's Peacock-pheasant,Polyplectron germaini,NT
225,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Hainan Peacock-pheasant,Polyplectron katsumatae,EN
226,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Grey Peacock-pheasant,Polyplectron bicalcaratum,LC
227,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Mountain Peacock-pheasant,Polyplectron inopinatum,VU
228,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,LC
229,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Madagascar Partridge,Margaroperdix madagarensis,LC
230,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Common Quail,Coturnix coturnix,LC
231,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Japanese Quail,Coturnix japonica,NT
232,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Rain Quail,Coturnix coromandelica,LC
233,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Harlequin Quail,Coturnix delegorguei,LC
234,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Stubble Quail,Coturnix pectoralis,LC
235,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,New Zealand Quail,Coturnix novaezelandiae,EX
236,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Brown Quail,Synoicus ypsilophorus,LC
237,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Asian Blue Quail,Synoicus chinensis,LC
238,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,African Blue Quail,Synoicus adansonii,LC
239,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Snow Mountain Quail,Anurophasis monorthonyx,NT
240,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Caucasian Snowcock,Tetraogallus caucasicus,LC
241,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Caspian Snowcock,Tetraogallus caspius,LC
242,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Himalayan Snowcock,Tetraogallus himalayensis,LC
243,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Tibetan Snowcock,Tetraogallus tibetanus,LC
244,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Altai Snowcock,Tetraogallus altaicus,LC
245,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Rock Partridge,Alectoris graeca,NT
246,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Chukar,Alectoris chukar,LC
247,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Przevalski's Partridge,Alectoris magna,LC
248,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Philby's Partridge,Alectoris philbyi,LC
249,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Barbary Partridge,Alectoris barbara,LC
250,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Red-legged Partridge,Alectoris rufa,NT
251,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Arabian Partridge,Alectoris melanocephala,LC
252,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Snow Partridge,Lerwa lerwa,LC
253,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,See-see Partridge,Ammoperdix griseogularis,LC
254,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Sand Partridge,Ammoperdix heyi,LC
255,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Jungle Bush-quail,Perdicula asiatica,LC
256,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Rock Bush-quail,Perdicula argoondah,LC
257,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Painted Bush-quail,Perdicula erythrorhyncha,LC
258,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Manipur Bush-quail,Perdicula manipurensis,EN
259,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Himalayan Quail,Ophrysia superciliosa,CR
260,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Hartlaub's Francolin,Pternistis hartlaubi,LC
261,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Double-spurred Francolin,Pternistis bicalcaratus,LC
262,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Heuglin's Francolin,Pternistis icterorhynchus,LC
263,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Clapperton's Francolin,Pternistis clappertoni,LC
264,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Harwood's Francolin,Pternistis harwoodi,NT
265,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Red-billed Francolin,Pternistis adspersus,LC
266,Phasianidae,"Pheasants, Partridges, Turkeys, Grouse",Phasianinae,Cape Francolin,Pternistis capensis,LC
