,Family,Common name,Scientific name,2018 IUCN Red List category,2022 IUCN Red List category
0,Ostriches,Common Ostrich,Struthio camelus,LC,LC
1,Ostriches,Somali Ostrich,Struthio molybdophanes,VU,VU
2,Rheas,Greater Rhea,Rhea americana,NT,NT
3,Rheas,Lesser Rhea,Rhea pennata,LC,LC
4,Rheas,Puna Rhea,Rhea tarapacensis,NT,NT
5,Tinamous,Tawny-breasted Tinamou,Nothocercus julius,LC,LC
6,Tinamous,Highland Tinamou,Nothocercus bonapartei,LC,LC
7,Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,VU,LC
8,Tinamous,Grey Tinamou,Tinamus tao,VU,VU
9,Tinamous,Solitary Tinamou,Tinamus solitarius,NT,NT
10,Tinamous,Black Tinamou,Tinamus osgoodi,VU,VU
11,Tinamous,Great Tinamou,Tinamus major,NT,LC
12,Tinamous,White-throated Tinamou,Tinamus guttatus,NT,NT
13,Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,LC,LC
14,Tinamous,Cinereous Tinamou,Crypturellus cinereus,LC,LC
15,Tinamous,Tepui Tinamou,Crypturellus ptaritepui,LC,LC
16,Tinamous,Little Tinamou,Crypturellus soui,LC,LC
17,Tinamous,Brown Tinamou,Crypturellus obsoletus,LC,LC
18,Tinamous,Undulated Tinamou,Crypturellus undulatus,LC,LC
19,Tinamous,Brazilian Tinamou,Crypturellus strigulosus,LC,LC
20,Tinamous,Grey-legged Tinamou,Crypturellus duidae,NT,LC
21,Tinamous,Red-legged Tinamou,Crypturellus erythropus,LC,LC
22,Tinamous,Yellow-legged Tinamou,Crypturellus noctivagus,NT,NT
23,Tinamous,Black-capped Tinamou,Crypturellus atrocapillus,NT,LC
24,Tinamous,Western Thicket Tinamou,Crypturellus occidentalis,LC,LC
25,Tinamous,Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC,LC
26,Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,NT,NT
27,Tinamous,Slaty-breasted Tinamou,Crypturellus boucardi,LC,VU
28,Tinamous,Choco Tinamou,Crypturellus kerriae,VU,VU
29,Tinamous,Variegated Tinamou,Crypturellus variegatus,LC,LC
30,Tinamous,Rusty Tinamou,Crypturellus brevirostris,LC,LC
31,Tinamous,Bartlett's Tinamou,Crypturellus bartletti,LC,LC
32,Tinamous,Barred Tinamou,Crypturellus casiquiare,LC,LC
33,Tinamous,Small-billed Tinamou,Crypturellus parvirostris,LC,LC
34,Tinamous,Tataupa Tinamou,Crypturellus tataupa,LC,LC
35,Tinamous,Red-winged Tinamou,Rhynchotus rufescens,LC,LC
36,Tinamous,Huayco Tinamou,Rhynchotus maculicollis,LC,LC
37,Tinamous,Taczanowski's Tinamou,Nothoprocta taczanowskii,VU,VU
38,Tinamous,Ornate Tinamou,Nothoprocta ornata,LC,LC
39,Tinamous,Chilean Tinamou,Nothoprocta perdicaria,LC,LC
40,Tinamous,Brushland Tinamou,Nothoprocta cinerascens,LC,LC
41,Tinamous,Andean Tinamou,Nothoprocta pentlandii,LC,LC
42,Tinamous,Curve-billed Tinamou,Nothoprocta curvirostris,LC,LC
43,Tinamous,White-bellied Nothura,Nothura boraquira,LC,LC
44,Tinamous,Lesser Nothura,Nothura minor,VU,VU
45,Tinamous,Darwin's Nothura,Nothura darwinii,LC,LC
46,Tinamous,Spotted Nothura,Nothura maculosa,LC,LC
47,Tinamous,Chaco Nothura,Nothura chacoensis,LC,
48,Tinamous,Dwarf Tinamou,Taoniscus nanus,EN,EN
49,Tinamous,Elegant Crested Tinamou,Eudromia elegans,LC,LC
50,Tinamous,Quebracho Crested Tinamou,Eudromia formosa,LC,LC
51,Tinamous,Puna Tinamou,Tinamotis pentlandii,LC,LC
52,Tinamous,Patagonian Tinamou,Tinamotis ingoufi,LC,LC
53,"Cassowaries, emus",Southern Cassowary,Casuarius casuarius,LC,LC
54,"Cassowaries, emus",Dwarf Cassowary,Casuarius bennetti,LC,LC
55,"Cassowaries, emus",Northern Cassowary,Casuarius unappendiculatus,LC,LC
56,"Cassowaries, emus",Common Emu,Dromaius novaehollandiae,LC,LC
57,"Cassowaries, emus",King Island Emu,Dromaius minor,EX,EX
58,"Cassowaries, emus",Kangaroo Island Emu,Dromaius baudinianus,EX,EX
59,Kiwis,Great Spotted Kiwi,Apteryx haastii,VU,VU
60,Kiwis,Little Spotted Kiwi,Apteryx owenii,NT,NT
61,Kiwis,Northern Brown Kiwi,Apteryx mantelli,VU,VU
62,Kiwis,Southern Brown Kiwi,Apteryx australis,VU,VU
63,Kiwis,Okarito Kiwi,Apteryx rowi,VU,VU
64,Megapodes,Australian Brush-turkey,Alectura lathami,LC,LC
65,Megapodes,Wattled Brush-turkey,Aepypodius arfakianus,LC,LC
66,Megapodes,Waigeo Brush-turkey,Aepypodius bruijnii,EN,EN
67,Megapodes,Red-billed Brush-turkey,Talegalla cuvieri,LC,LC
68,Megapodes,Black-billed Brush-turkey,Talegalla fuscirostris,LC,LC
69,Megapodes,Collared Brush-turkey,Talegalla jobiensis,LC,LC
70,Megapodes,Malleefowl,Leipoa ocellata,VU,VU
71,Megapodes,Maleo,Macrocephalon maleo,EN,CR
72,Megapodes,Moluccan Scrubfowl,Eulipoa wallacei,VU,VU
73,Megapodes,Nicobar Scrubfowl,Megapodius nicobariensis,VU,VU
74,Megapodes,Philippine Scrubfowl,Megapodius cumingii,LC,LC
75,Megapodes,Sula Scrubfowl,Megapodius bernsteinii,VU,VU
76,Megapodes,Tanimbar Scrubfowl,Megapodius tenimberensis,NT,VU
77,Megapodes,Vanuatu Scrubfowl,Megapodius layardi,VU,VU
78,Megapodes,Micronesian Scrubfowl,Megapodius laperouse,EN,NT
79,Megapodes,Tongan Scrubfowl,Megapodius pritchardii,EN,VU
80,Megapodes,Dusky Scrubfowl,Megapodius freycinet,LC,LC
81,Megapodes,Biak Scrubfowl,Megapodius geelvinkianus,VU,NT
82,Megapodes,New Guinea Scrubfowl,Megapodius decollatus,LC,LC
83,Megapodes,Melanesian Scrubfowl,Megapodius eremita,LC,LC
84,Megapodes,Orange-footed Scrubfowl,Megapodius reinwardt,LC,LC
85,"Guans, chachalacas, curassows",Black Guan,Chamaepetes unicolor,LC,LC
86,"Guans, chachalacas, curassows",Sickle-winged Guan,Chamaepetes goudotii,LC,LC
87,"Guans, chachalacas, curassows",Highland Guan,Penelopina nigra,VU,VU
88,"Guans, chachalacas, curassows",Band-tailed Guan,Penelope argyrotis,LC,LC
89,"Guans, chachalacas, curassows",Bearded Guan,Penelope barbata,NT,NT
90,"Guans, chachalacas, curassows",Baudo Guan,Penelope ortoni,EN,EN
91,"Guans, chachalacas, curassows",Andean Guan,Penelope montagnii,LC,LC
92,"Guans, chachalacas, curassows",Marail Guan,Penelope marail,LC,LC
93,"Guans, chachalacas, curassows",Rusty-margined Guan,Penelope superciliaris,LC,NT
94,"Guans, chachalacas, curassows",Red-faced Guan,Penelope dabbenei,LC,LC
95,"Guans, chachalacas, curassows",Spix's Guan,Penelope jacquacu,LC,LC
96,"Guans, chachalacas, curassows",Crested Guan,Penelope purpurascens,LC,NT
97,"Guans, chachalacas, curassows",Cauca Guan,Penelope perspicax,EN,VU
98,"Guans, chachalacas, curassows",White-winged Guan,Penelope albipennis,EN,EN
99,"Guans, chachalacas, curassows",Dusky-legged Guan,Penelope obscura,LC,LC
100,"Guans, chachalacas, curassows",White-crested Guan,Penelope pileata,VU,VU
101,"Guans, chachalacas, curassows",Chestnut-bellied Guan,Penelope ochrogaster,VU,VU
102,"Guans, chachalacas, curassows",White-browed Guan,Penelope jacucaca,VU,VU
103,"Guans, chachalacas, curassows",Trinidad Piping-guan,Pipile pipile,CR,CR
104,"Guans, chachalacas, curassows",Blue-throated Piping-guan,Pipile cumanensis,LC,LC
105,"Guans, chachalacas, curassows",White-throated Piping-guan,Pipile grayi,NT,NT
106,"Guans, chachalacas, curassows",Red-throated Piping-guan,Pipile cujubi,LC,VU
107,"Guans, chachalacas, curassows",Black-fronted Piping-guan,Pipile jacutinga,EN,EN
108,"Guans, chachalacas, curassows",Wattled Guan,Aburria aburri,NT,NT
109,"Guans, chachalacas, curassows",Horned Guan,Oreophasis derbianus,EN,EN
110,"Guans, chachalacas, curassows",Plain Chachalaca,Ortalis vetula,LC,LC
111,"Guans, chachalacas, curassows",Grey-headed Chachalaca,Ortalis cinereiceps,LC,LC
112,"Guans, chachalacas, curassows",Chestnut-winged Chachalaca,Ortalis garrula,LC,LC
113,"Guans, chachalacas, curassows",Rufous-vented Chachalaca,Ortalis ruficauda,LC,LC
114,"Guans, chachalacas, curassows",Rufous-headed Chachalaca,Ortalis erythroptera,VU,VU
115,"Guans, chachalacas, curassows",Rufous-bellied Chachalaca,Ortalis wagleri,LC,LC
116,"Guans, chachalacas, curassows",West Mexican Chachalaca,Ortalis poliocephala,LC,LC
117,"Guans, chachalacas, curassows",Chaco Chachalaca,Ortalis canicollis,LC,LC
118,"Guans, chachalacas, curassows",White-bellied Chachalaca,Ortalis leucogastra,LC,LC
119,"Guans, chachalacas, curassows",Colombian Chachalaca,Ortalis columbiana,LC,LC
120,"Guans, chachalacas, curassows",Speckled Chachalaca,Ortalis guttata,LC,LC
121,"Guans, chachalacas, curassows",East Brazilian Chachalaca,Ortalis araucuan,LC,LC
122,"Guans, chachalacas, curassows",Scaled Chachalaca,Ortalis squamata,LC,LC
123,"Guans, chachalacas, curassows",Little Chachalaca,Ortalis motmot,LC,LC
124,"Guans, chachalacas, curassows",Buff-browed Chachalaca,Ortalis superciliaris,LC,LC
125,"Guans, chachalacas, curassows",Nocturnal Curassow,Nothocrax urumutum,LC,LC
126,"Guans, chachalacas, curassows",Great Curassow,Crax rubra,VU,VU
127,"Guans, chachalacas, curassows",Blue-billed Curassow,Crax alberti,CR,CR
128,"Guans, chachalacas, curassows",Yellow-knobbed Curassow,Crax daubentoni,NT,NT
129,"Guans, chachalacas, curassows",Black Curassow,Crax alector,VU,LC
130,"Guans, chachalacas, curassows",Bare-faced Curassow,Crax fasciolata,VU,VU
131,"Guans, chachalacas, curassows",Belem Curassow,Crax pinima,CR,CR
132,"Guans, chachalacas, curassows",Wattled Curassow,Crax globulosa,EN,EN
133,"Guans, chachalacas, curassows",Red-billed Curassow,Crax blumenbachii,EN,EN
134,"Guans, chachalacas, curassows",Crestless Curassow,Mitu tomentosum,NT,NT
135,"Guans, chachalacas, curassows",Alagoas Curassow,Mitu mitu,EW,EW
136,"Guans, chachalacas, curassows",Razor-billed Curassow,Mitu tuberosum,LC,NT
137,"Guans, chachalacas, curassows",Salvin's Curassow,Mitu salvini,LC,LC
138,"Guans, chachalacas, curassows",Horned Curassow,Pauxi unicornis,CR,CR
139,"Guans, chachalacas, curassows",Sira Curassow,Pauxi koepckeae,CR,CR
140,"Guans, chachalacas, curassows",Helmeted Curassow,Pauxi pauxi,EN,EN
141,Guineafowl,Helmeted Guineafowl,Numida meleagris,LC,LC
142,Guineafowl,White-breasted Guineafowl,Agelastes meleagrides,VU,VU
143,Guineafowl,Black Guineafowl,Agelastes niger,LC,LC
144,Guineafowl,Vulturine Guineafowl,Acryllium vulturinum,LC,LC
145,Guineafowl,Plumed Guineafowl,Guttera plumifera,LC,LC
146,Guineafowl,Western Crested Guineafowl,Guttera verreauxi,LC,LC
147,Guineafowl,Eastern Crested Guineafowl,Guttera pucherani,LC,LC
148,Guineafowl,Southern Crested Guineafowl,Guttera edouardi,LC,LC
149,New World quails,Stone Partridge,Ptilopachus petrosus,LC,LC
150,New World quails,Nahan's Partridge,Ptilopachus nahani,VU,VU
151,New World quails,Banded Quail,Philortyx fasciatus,LC,LC
152,New World quails,Mountain Quail,Oreortyx pictus,LC,LC
153,New World quails,Northern Bobwhite,Colinus virginianus,NT,NT
154,New World quails,Black-throated Bobwhite,Colinus nigrogularis,LC,LC
155,New World quails,Spot-bellied Bobwhite,Colinus leucopogon,LC,LC
156,New World quails,Crested Bobwhite,Colinus cristatus,LC,LC
157,New World quails,Scaled Quail,Callipepla squamata,LC,LC
158,New World quails,Elegant Quail,Callipepla douglasii,LC,LC
159,New World quails,Gambel's Quail,Callipepla gambelii,LC,LC
160,New World quails,California Quail,Callipepla californica,LC,LC
161,New World quails,Bearded Wood-partridge,Dendrortyx barbatus,VU,VU
162,New World quails,Long-tailed Wood-partridge,Dendrortyx macroura,LC,LC
163,New World quails,Buffy-crowned Wood-partridge,Dendrortyx leucophrys,LC,LC
164,New World quails,Marbled Wood-quail,Odontophorus gujanensis,NT,LC
165,New World quails,Spot-winged Wood-quail,Odontophorus capueira,LC,LC
166,New World quails,Black-eared Wood-quail,Odontophorus melanotis,LC,NT
167,New World quails,Rufous-fronted Wood-quail,Odontophorus erythrops,LC,LC
168,New World quails,Black-fronted Wood-quail,Odontophorus atrifrons,VU,VU
169,New World quails,Chestnut Wood-quail,Odontophorus hyperythrus,NT,LC
170,New World quails,Dark-backed Wood-quail,Odontophorus melanonotus,VU,VU
171,New World quails,Rufous-breasted Wood-quail,Odontophorus speciosus,NT,LC
172,New World quails,Tacarcuna Wood-quail,Odontophorus dialeucos,VU,LC
173,New World quails,Gorgeted Wood-quail,Odontophorus strophium,VU,VU
174,New World quails,Venezuelan Wood-quail,Odontophorus columbianus,NT,NT
175,New World quails,Black-breasted Wood-quail,Odontophorus leucolaemus,LC,LC
176,New World quails,Stripe-faced Wood-quail,Odontophorus balliviani,LC,LC
177,New World quails,Starred Wood-quail,Odontophorus stellatus,LC,LC
178,New World quails,Spotted Wood-quail,Odontophorus guttatus,LC,LC
179,New World quails,Tawny-faced Quail,Rhynchortyx cinctus,LC,NT
180,New World quails,Singing Quail,Dactylortyx thoracicus,LC,LC
181,New World quails,Montezuma Quail,Cyrtonyx montezumae,LC,LC
182,New World quails,Spot-breasted Quail,Cyrtonyx sallei,NT,NT
183,New World quails,Ocellated Quail,Cyrtonyx ocellatus,VU,VU
184,"Pheasants, partridges, turkeys, grouse",Udzungwa Forest-partridge,Xenoperdix udzungwensis,EN,EN
185,"Pheasants, partridges, turkeys, grouse",Crested Partridge,Rollulus rouloul,NT,VU
186,"Pheasants, partridges, turkeys, grouse",Hill Partridge,Arborophila torqueola,LC,LC
187,"Pheasants, partridges, turkeys, grouse",Rufous-throated Partridge,Arborophila rufogularis,LC,LC
188,"Pheasants, partridges, turkeys, grouse",White-cheeked Partridge,Arborophila atrogularis,NT,NT
189,"Pheasants, partridges, turkeys, grouse",Taiwan Partridge,Arborophila crudigularis,LC,LC
190,"Pheasants, partridges, turkeys, grouse",Chestnut-breasted Partridge,Arborophila mandellii,VU,NT
191,"Pheasants, partridges, turkeys, grouse",Bar-backed Partridge,Arborophila brunneopectus,LC,LC
192,"Pheasants, partridges, turkeys, grouse",Sichuan Partridge,Arborophila rufipectus,EN,EN
193,"Pheasants, partridges, turkeys, grouse",Collared Partridge,Arborophila gingica,NT,NT
194,"Pheasants, partridges, turkeys, grouse",Orange-necked Partridge,Arborophila davidi,NT,NT
195,"Pheasants, partridges, turkeys, grouse",Chestnut-headed Partridge,Arborophila cambodiana,LC,LC
196,"Pheasants, partridges, turkeys, grouse",Malay Partridge,Arborophila campbelli,LC,LC
197,"Pheasants, partridges, turkeys, grouse",Tan-breasted Partridge,Arborophila rolli,LC,LC
198,"Pheasants, partridges, turkeys, grouse",Sumatran Partridge,Arborophila sumatrana,LC,LC
199,"Pheasants, partridges, turkeys, grouse",White-faced Partridge,Arborophila orientalis,VU,VU
200,"Pheasants, partridges, turkeys, grouse",Chestnut-bellied Partridge,Arborophila javanica,LC,LC
201,"Pheasants, partridges, turkeys, grouse",Red-billed Partridge,Arborophila rubrirostris,LC,LC
202,"Pheasants, partridges, turkeys, grouse",Bornean Partridge,Arborophila hyperythra,LC,LC
203,"Pheasants, partridges, turkeys, grouse",Hainan Partridge,Arborophila ardens,VU,VU
204,"Pheasants, partridges, turkeys, grouse",Green-legged Partridge,Arborophila chloropus,LC,
205,"Pheasants, partridges, turkeys, grouse",Tonkin Partridge,Arborophila tonkinensis,LC,
206,"Pheasants, partridges, turkeys, grouse",Chestnut-necklaced Partridge,Arborophila charltonii,VU,
207,"Pheasants, partridges, turkeys, grouse",Sabah Partridge,Arborophila graydoni,LC,
208,"Pheasants, partridges, turkeys, grouse",Long-billed Partridge,Rhizothera longirostris,NT,NT
209,"Pheasants, partridges, turkeys, grouse",Dulit Partridge,Rhizothera dulitensis,VU,VU
210,"Pheasants, partridges, turkeys, grouse",Black Partridge,Melanoperdix niger,VU,VU
211,"Pheasants, partridges, turkeys, grouse",Crimson-headed Partridge,Haematortyx sanguiniceps,LC,LC
212,"Pheasants, partridges, turkeys, grouse",Ferruginous Partridge,Caloperdix oculeus,NT,NT
213,"Pheasants, partridges, turkeys, grouse",Red Spurfowl,Galloperdix spadicea,LC,LC
214,"Pheasants, partridges, turkeys, grouse",Painted Spurfowl,Galloperdix lunulata,LC,LC
215,"Pheasants, partridges, turkeys, grouse",Sri Lanka Spurfowl,Galloperdix bicalcarata,LC,LC
216,"Pheasants, partridges, turkeys, grouse",Congo Peafowl,Afropavo congensis,VU,NT
217,"Pheasants, partridges, turkeys, grouse",Indian Peafowl,Pavo cristatus,LC,LC
218,"Pheasants, partridges, turkeys, grouse",Green Peafowl,Pavo muticus,EN,EN
219,"Pheasants, partridges, turkeys, grouse",Great Argus,Argusianus argus,NT,VU
220,"Pheasants, partridges, turkeys, grouse",Crested Argus,Rheinardia ocellata,EN,CR
221,"Pheasants, partridges, turkeys, grouse",Palawan Peacock-pheasant,Polyplectron napoleonis,VU,VU
222,"Pheasants, partridges, turkeys, grouse",Malay Peacock-pheasant,Polyplectron malacense,VU,EN
223,"Pheasants, partridges, turkeys, grouse",Bornean Peacock-pheasant,Polyplectron schleiermacheri,EN,EN
224,"Pheasants, partridges, turkeys, grouse",Germain's Peacock-pheasant,Polyplectron germaini,NT,NT
225,"Pheasants, partridges, turkeys, grouse",Hainan Peacock-pheasant,Polyplectron katsumatae,EN,EN
226,"Pheasants, partridges, turkeys, grouse",Grey Peacock-pheasant,Polyplectron bicalcaratum,LC,LC
227,"Pheasants, partridges, turkeys, grouse",Mountain Peacock-pheasant,Polyplectron inopinatum,VU,VU
228,"Pheasants, partridges, turkeys, grouse",Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,LC,LC
229,"Pheasants, partridges, turkeys, grouse",Madagascar Partridge,Margaroperdix madagarensis,LC,LC
230,"Pheasants, partridges, turkeys, grouse",Common Quail,Coturnix coturnix,LC,LC
231,"Pheasants, partridges, turkeys, grouse",Japanese Quail,Coturnix japonica,NT,NT
232,"Pheasants, partridges, turkeys, grouse",Rain Quail,Coturnix coromandelica,LC,LC
233,"Pheasants, partridges, turkeys, grouse",Harlequin Quail,Coturnix delegorguei,LC,LC
234,"Pheasants, partridges, turkeys, grouse",Stubble Quail,Coturnix pectoralis,LC,LC
235,"Pheasants, partridges, turkeys, grouse",New Zealand Quail,Coturnix novaezelandiae,EX,EX
236,"Pheasants, partridges, turkeys, grouse",Brown Quail,Synoicus ypsilophorus,LC,LC
237,"Pheasants, partridges, turkeys, grouse",Asian Blue Quail,Synoicus chinensis,LC,LC
238,"Pheasants, partridges, turkeys, grouse",African Blue Quail,Synoicus adansonii,LC,LC
239,"Pheasants, partridges, turkeys, grouse",Snow Mountain Quail,Anurophasis monorthonyx,NT,NT
240,"Pheasants, partridges, turkeys, grouse",Caucasian Snowcock,Tetraogallus caucasicus,LC,LC
241,"Pheasants, partridges, turkeys, grouse",Caspian Snowcock,Tetraogallus caspius,LC,LC
242,"Pheasants, partridges, turkeys, grouse",Himalayan Snowcock,Tetraogallus himalayensis,LC,LC
243,"Pheasants, partridges, turkeys, grouse",Tibetan Snowcock,Tetraogallus tibetanus,LC,LC
244,"Pheasants, partridges, turkeys, grouse",Altai Snowcock,Tetraogallus altaicus,LC,LC
245,"Pheasants, partridges, turkeys, grouse",Rock Partridge,Alectoris graeca,NT,NT
246,"Pheasants, partridges, turkeys, grouse",Chukar,Alectoris chukar,LC,LC
247,"Pheasants, partridges, turkeys, grouse",Przevalski's Partridge,Alectoris magna,LC,LC
248,"Pheasants, partridges, turkeys, grouse",Philby's Partridge,Alectoris philbyi,LC,LC
249,"Pheasants, partridges, turkeys, grouse",Barbary Partridge,Alectoris barbara,LC,LC
250,"Pheasants, partridges, turkeys, grouse",Red-legged Partridge,Alectoris rufa,LC,NT
251,"Pheasants, partridges, turkeys, grouse",Arabian Partridge,Alectoris melanocephala,LC,LC
252,"Pheasants, partridges, turkeys, grouse",Snow Partridge,Lerwa lerwa,LC,LC
253,"Pheasants, partridges, turkeys, grouse",See-see Partridge,Ammoperdix griseogularis,LC,LC
254,"Pheasants, partridges, turkeys, grouse",Sand Partridge,Ammoperdix heyi,LC,LC
255,"Pheasants, partridges, turkeys, grouse",Jungle Bush-quail,Perdicula asiatica,LC,LC
256,"Pheasants, partridges, turkeys, grouse",Rock Bush-quail,Perdicula argoondah,LC,LC
257,"Pheasants, partridges, turkeys, grouse",Painted Bush-quail,Perdicula erythrorhyncha,LC,LC
258,"Pheasants, partridges, turkeys, grouse",Manipur Bush-quail,Perdicula manipurensis,EN,EN
259,"Pheasants, partridges, turkeys, grouse",Himalayan Quail,Ophrysia superciliosa,CR,CR
260,"Pheasants, partridges, turkeys, grouse",Hartlaub's Francolin,Pternistis hartlaubi,LC,LC
261,"Pheasants, partridges, turkeys, grouse",Double-spurred Francolin,Pternistis bicalcaratus,LC,LC
262,"Pheasants, partridges, turkeys, grouse",Heuglin's Francolin,Pternistis icterorhynchus,LC,LC
263,"Pheasants, partridges, turkeys, grouse",Clapperton's Francolin,Pternistis clappertoni,LC,LC
264,"Pheasants, partridges, turkeys, grouse",Harwood's Francolin,Pternistis harwoodi,NT,NT
265,"Pheasants, partridges, turkeys, grouse",Red-billed Francolin,Pternistis adspersus,LC,LC
266,"Pheasants, partridges, turkeys, grouse",Cape Francolin,Pternistis capensis,LC,LC
267,"Pheasants, partridges, turkeys, grouse",Natal Francolin,Pternistis natalensis,LC,LC
268,"Pheasants, partridges, turkeys, grouse",Hildebrandt's Francolin,Pternistis hildebrandti,LC,LC
269,"Pheasants, partridges, turkeys, grouse",Ahanta Francolin,Pternistis ahantensis,LC,LC
270,"Pheasants, partridges, turkeys, grouse",Scaly Francolin,Pternistis squamatus,LC,LC
271,"Pheasants, partridges, turkeys, grouse",Grey-striped Francolin,Pternistis griseostriatus,LC,LC
272,"Pheasants, partridges, turkeys, grouse",Yellow-necked Francolin,Pternistis leucoscepus,LC,LC
273,"Pheasants, partridges, turkeys, grouse",Grey-breasted Francolin,Pternistis rufopictus,LC,LC
274,"Pheasants, partridges, turkeys, grouse",Red-necked Francolin,Pternistis afer,LC,LC
275,"Pheasants, partridges, turkeys, grouse",Swainson's Francolin,Pternistis swainsonii,LC,LC
276,"Pheasants, partridges, turkeys, grouse",Jackson's Francolin,Pternistis jacksoni,LC,LC
277,"Pheasants, partridges, turkeys, grouse",Handsome Francolin,Pternistis nobilis,LC,LC
278,"Pheasants, partridges, turkeys, grouse",Mount Cameroon Francolin,Pternistis camerunensis,EN,EN
279,"Pheasants, partridges, turkeys, grouse",Swierstra's Francolin,Pternistis swierstrai,EN,EN
280,"Pheasants, partridges, turkeys, grouse",Chestnut-naped Francolin,Pternistis castaneicollis,LC,LC
281,"Pheasants, partridges, turkeys, grouse",Black-fronted Francolin,Pternistis atrifrons,EN,EN
282,"Pheasants, partridges, turkeys, grouse",Erckel's Francolin,Pternistis erckelii,LC,LC
283,"Pheasants, partridges, turkeys, grouse",Djibouti Francolin,Pternistis ochropectus,CR,CR
284,"Pheasants, partridges, turkeys, grouse",Black Francolin,Francolinus francolinus,LC,LC
285,"Pheasants, partridges, turkeys, grouse",Painted Francolin,Francolinus pictus,LC,LC
286,"Pheasants, partridges, turkeys, grouse",Chinese Francolin,Francolinus pintadeanus,LC,LC
287,"Pheasants, partridges, turkeys, grouse",Grey Francolin,Francolinus pondicerianus,LC,LC
288,"Pheasants, partridges, turkeys, grouse",Swamp Francolin,Francolinus gularis,VU,VU
289,"Pheasants, partridges, turkeys, grouse",Crested Francolin,Dendroperdix sephaena,LC,LC
290,"Pheasants, partridges, turkeys, grouse",Coqui Francolin,Peliperdix coqui,LC,LC
291,"Pheasants, partridges, turkeys, grouse",White-throated Francolin,Peliperdix albogularis,LC,LC
292,"Pheasants, partridges, turkeys, grouse",Schlegel's Francolin,Peliperdix schlegelii,LC,LC
293,"Pheasants, partridges, turkeys, grouse",Forest Francolin,Peliperdix lathami,LC,LC
294,"Pheasants, partridges, turkeys, grouse",Ring-necked Francolin,Scleroptila streptophora,NT,NT
295,"Pheasants, partridges, turkeys, grouse",Red-winged Francolin,Scleroptila levaillantii,LC,LC
296,"Pheasants, partridges, turkeys, grouse",Grey-winged Francolin,Scleroptila afra,LC,LC
297,"Pheasants, partridges, turkeys, grouse",Finsch's Francolin,Scleroptila finschi,LC,LC
298,"Pheasants, partridges, turkeys, grouse",Moorland Francolin,Scleroptila psilolaema,NT,NT
299,"Pheasants, partridges, turkeys, grouse",Elgon Francolin,Scleroptila elgonensis,NT,NT
300,"Pheasants, partridges, turkeys, grouse",Shelley's Francolin,Scleroptila shelleyi,LC,LC
301,"Pheasants, partridges, turkeys, grouse",Whyte's Francolin,Scleroptila whytei,LC,LC
302,"Pheasants, partridges, turkeys, grouse",Orange River Francolin,Scleroptila gutturalis,LC,LC
303,"Pheasants, partridges, turkeys, grouse",Mountain Bamboo-partridge,Bambusicola fytchii,LC,LC
304,"Pheasants, partridges, turkeys, grouse",Chinese Bamboo-partridge,Bambusicola thoracicus,LC,LC
305,"Pheasants, partridges, turkeys, grouse",Taiwan Bamboo-partridge,Bambusicola sonorivox,LC,LC
306,"Pheasants, partridges, turkeys, grouse",Red Junglefowl,Gallus gallus,LC,LC
307,"Pheasants, partridges, turkeys, grouse",Grey Junglefowl,Gallus sonneratii,LC,LC
308,"Pheasants, partridges, turkeys, grouse",Sri Lanka Junglefowl,Gallus lafayettii,LC,LC
309,"Pheasants, partridges, turkeys, grouse",Green Junglefowl,Gallus varius,LC,LC
310,"Pheasants, partridges, turkeys, grouse",Chestnut-throated Partridge,Tetraophasis obscurus,LC,LC
311,"Pheasants, partridges, turkeys, grouse",Buff-throated Partridge,Tetraophasis szechenyii,LC,LC
312,"Pheasants, partridges, turkeys, grouse",Himalayan Monal,Lophophorus impejanus,LC,LC
313,"Pheasants, partridges, turkeys, grouse",Sclater's Monal,Lophophorus sclateri,VU,VU
314,"Pheasants, partridges, turkeys, grouse",Chinese Monal,Lophophorus lhuysii,VU,VU
315,"Pheasants, partridges, turkeys, grouse",Western Tragopan,Tragopan melanocephalus,VU,VU
316,"Pheasants, partridges, turkeys, grouse",Satyr Tragopan,Tragopan satyra,NT,NT
317,"Pheasants, partridges, turkeys, grouse",Blyth's Tragopan,Tragopan blythii,VU,VU
318,"Pheasants, partridges, turkeys, grouse",Temminck's Tragopan,Tragopan temminckii,LC,LC
319,"Pheasants, partridges, turkeys, grouse",Cabot's Tragopan,Tragopan caboti,VU,VU
320,"Pheasants, partridges, turkeys, grouse",Blood Pheasant,Ithaginis cruentus,LC,LC
321,"Pheasants, partridges, turkeys, grouse",Koklass Pheasant,Pucrasia macrolopha,LC,LC
322,"Pheasants, partridges, turkeys, grouse",Elliot's Pheasant,Syrmaticus ellioti,NT,NT
323,"Pheasants, partridges, turkeys, grouse",Mrs Hume's Pheasant,Syrmaticus humiae,NT,NT
324,"Pheasants, partridges, turkeys, grouse",Mikado Pheasant,Syrmaticus mikado,NT,NT
325,"Pheasants, partridges, turkeys, grouse",Copper Pheasant,Syrmaticus soemmerringii,NT,NT
