,Common name,Scientific name,2018 IUCN Red List category,2022 IUCN Red List category,AOU
10367,Canyon Towhee,Melozone fusca,LC,LC,5910
10369,California Towhee,Melozone crissalis,LC,LC,5911
10370,Abert's Towhee,Melozone aberti,LC,LC,5920
10376,Rufous-crowned Sparrow,Aimophila ruficeps,LC,LC,5800
10381,Yellow-eyed Junco,Junco phaeonotus,LC,LC,5700
10384,Harris's Sparrow,Zonotrichia querula,NT,NT,5530
10385,White-throated Sparrow,Zonotrichia albicollis,LC,LC,5580
10386,White-crowned Sparrow,Zonotrichia leucophrys,LC,LC,5540
10387,Golden-crowned Sparrow,Zonotrichia atricapilla,LC,LC,5570
10394,Seaside Sparrow,Ammospiza maritima,LC,LC,5500
10395,Nelson's Sparrow,Ammospiza nelsoni,LC,LC,5491
10396,Saltmarsh Sparrow,Ammospiza caudacuta,EN,EN,5490
10397,Sagebrush Sparrow,Artemisiospiza nevadensis,LC,LC,5738
10398,Bell's Sparrow,Artemisiospiza belli,LC,LC,5739
10399,Vesper Sparrow,Pooecetes gramineus,LC,LC,5400
10401,Savannah Sparrow,Passerculus sandwichensis,LC,LC,5420
10405,Baird's Sparrow,Passerculus bairdii,LC,LC,5450
10406,Henslow's Sparrow,Passerculus henslowii,LC,LC,5470
10408,Song Sparrow,Melospiza melodia,LC,LC,5810
10409,Lincoln's Sparrow,Melospiza lincolnii,LC,LC,5830
10410,Swamp Sparrow,Melospiza georgiana,LC,LC,5840
10414,Yellow-breasted Chat,Icteria virens,LC,LC,6830
10415,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,LC,LC,4970
10417,Western Meadowlark,Sturnella neglecta,LC,LC,5011
10418,Eastern Meadowlark,Sturnella magna,NT,NT,5010
10451,Scott's Oriole,Icterus parisorum,LC,LC,5040
10452,Audubon's Oriole,Icterus graduacauda,LC,LC,5030
10456,Altamira Oriole,Icterus gularis,LC,LC,5031
10458,Baltimore Oriole,Icterus galbula,LC,LC,5070
10460,Bullock's Oriole,Icterus bullockiorum,LC,LC,5080
10463,Spot-breasted Oriole,Icterus pectoralis,LC,LC,5032
10470,Hooded Oriole,Icterus cucullatus,LC,LC,5050
10472,Orchard Oriole,Icterus spurius,LC,LC,5060
10488,Tricolored Blackbird,Agelaius tricolor,EN,EN,5000
10489,Red-winged Blackbird,Agelaius phoeniceus,LC,LC,4980
10493,Shiny Cowbird,Molothrus bonariensis,LC,LC,4961
10494,Brown-headed Cowbird,Molothrus ater,LC,LC,4950
10495,Bronzed Cowbird,Molothrus aeneus,LC,LC,4960
10500,Rusty Blackbird,Euphagus carolinus,VU,VU,5090
10501,Brewer's Blackbird,Euphagus cyanocephalus,LC,LC,5100
10502,Common Grackle,Quiscalus quiscula,NT,NT,5110
10506,Boat-tailed Grackle,Quiscalus major,LC,LC,5130
10507,Great-tailed Grackle,Quiscalus mexicanus,LC,LC,5120
10530,Worm-eating Warbler,Helmitheros vermivorum,LC,LC,6390
10531,Louisiana Waterthrush,Parkesia motacilla,LC,LC,6760
10532,Northern Waterthrush,Parkesia noveboracensis,LC,LC,6750
10534,Golden-winged Warbler,Vermivora chrysoptera,NT,NT,6420
10535,Blue-winged Warbler,Vermivora cyanoptera,LC,LC,6410
10536,Black-and-white Warbler,Mniotilta varia,LC,LC,6360
10537,Prothonotary Warbler,Protonotaria citrea,LC,LC,6370
10538,Swainson's Warbler,Limnothlypis swainsonii,LC,LC,6380
10541,Tennessee Warbler,Leiothlypis peregrina,LC,LC,6470
10542,Orange-crowned Warbler,Leiothlypis celata,LC,LC,6460
10544,Lucy's Warbler,Leiothlypis luciae,LC,LC,6430
10545,Nashville Warbler,Leiothlypis ruficapilla,LC,LC,6450
10546,Virginia's Warbler,Leiothlypis virginiae,LC,LC,6440
10548,Connecticut Warbler,Oporornis agilis,LC,LC,6780
10553,MacGillivray's Warbler,Geothlypis tolmiei,LC,LC,6800
10554,Mourning Warbler,Geothlypis philadelphia,LC,LC,6790
10555,Kentucky Warbler,Geothlypis formosa,LC,LC,6770
10562,Common Yellowthroat,Geothlypis trichas,LC,LC,6810
10568,Hooded Warbler,Setophaga citrina,LC,LC,6840
10569,American Redstart,Setophaga ruticilla,LC,LC,6870
10570,Kirtland's Warbler,Setophaga kirtlandii,NT,NT,6700
10572,Cerulean Warbler,Setophaga cerulea,VU,NT,6580
10573,Northern Parula,Setophaga americana,LC,LC,6480
10574,Tropical Parula,Setophaga pitiayumi,LC,LC,6490
10576,Magnolia Warbler,Setophaga magnolia,LC,LC,6570
10577,Bay-breasted Warbler,Setophaga castanea,LC,LC,6600
10578,Blackburnian Warbler,Setophaga fusca,LC,LC,6620
10580,Chestnut-sided Warbler,Setophaga pensylvanica,LC,LC,6590
10581,Blackpoll Warbler,Setophaga striata,NT,NT,6610
10583,Palm Warbler,Setophaga palmarum,LC,LC,6720
10585,Pine Warbler,Setophaga pinus,LC,LC,6710
10588,Yellow-throated Warbler,Setophaga dominica,LC,LC,6630
10591,Prairie Warbler,Setophaga discolor,LC,LC,6730
10595,Grace's Warbler,Setophaga graciae,LC,LC,6640
10597,Townsend's Warbler,Setophaga townsendi,LC,LC,6680
10598,Hermit Warbler,Setophaga occidentalis,LC,LC,6690
10599,Golden-cheeked Warbler,Setophaga chrysoparia,EN,EN,6660
10633,Canada Warbler,Cardellina canadensis,LC,LC,6860
10634,Wilson's Warbler,Cardellina pusilla,LC,LC,6850
10635,Red-faced Warbler,Cardellina rubrifrons,LC,LC,6900
10670,Rose-breasted Grosbeak,Pheucticus ludovicianus,LC,LC,5950
10671,Black-headed Grosbeak,Pheucticus melanocephalus,LC,LC,5960
10678,Indigo Bunting,Passerina cyanea,LC,LC,5980
10679,Blue Grosbeak,Passerina caerulea,LC,LC,5970
10680,Lazuli Bunting,Passerina amoena,LC,LC,5990
10683,Varied Bunting,Passerina versicolor,LC,LC,6000
10684,Painted Bunting,Passerina ciris,LC,LC,6010
10705,Scarlet Tanager,Piranga olivacea,LC,LC,6080
10706,Summer Tanager,Piranga rubra,LC,LC,6100
10708,Western Tanager,Piranga ludoviciana,LC,LC,6070
10709,Hepatic Tanager,Piranga hepatica,LC,LC,6090
10711,Northern Cardinal,Cardinalis cardinalis,LC,LC,5930
