Family,Common name,Scientific name,2018 IUCN Red List category
Ostriches,Common Ostrich,Struthio camelus,LC
Ostriches,Somali Ostrich,Struthio molybdophanes,VU
Rheas,Greater Rhea,Rhea americana,NT
Rheas,Lesser Rhea,Rhea pennata,LC
Rheas,Puna Rhea,Rhea tarapacensis,NT
Tinamous,Tawny-breasted Tinamou,Nothocercus julius,LC
Tinamous,Highland Tinamou,Nothocercus bonapartei,LC
Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,VU
Tinamous,Grey Tinamou,Tinamus tao,VU
Tinamous,Solitary Tinamou,Tinamus solitarius,NT
Tinamous,Black Tinamou,Tinamus osgoodi,VU
Tinamous,Great Tinamou,Tinamus major,NT
Tinamous,White-throated Tinamou,Tinamus guttatus,NT
Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,LC
Tinamous,Cinereous Tinamou,Crypturellus cinereus,LC
Tinamous,Tepui Tinamou,Crypturellus ptaritepui,LC
Tinamous,Little Tinamou,Crypturellus soui,LC
Tinamous,Brown Tinamou,Crypturellus obsoletus,LC
Tinamous,Undulated Tinamou,Crypturellus undulatus,LC
Tinamous,Brazilian Tinamou,Crypturellus strigulosus,LC
Tinamous,Grey-legged Tinamou,Crypturellus duidae,NT
Tinamous,Red-legged Tinamou,Crypturellus erythropus,LC
Tinamous,Yellow-legged Tinamou,Crypturellus noctivagus,NT
Tinamous,Black-capped Tinamou,Crypturellus atrocapillus,NT
Tinamous,Western Thicket Tinamou,Crypturellus occidentalis,LC
Tinamous,Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC
Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,NT
Tinamous,Slaty-breasted Tinamou,Crypturellus boucardi,LC
Tinamous,Choco Tinamou,Crypturellus kerriae,VU
Tinamous,Variegated Tinamou,Crypturellus variegatus,LC
Tinamous,Rusty Tinamou,Crypturellus brevirostris,LC
Tinamous,Bartlett's Tinamou,Crypturellus bartletti,LC
Tinamous,Barred Tinamou,Crypturellus casiquiare,LC
Tinamous,Small-billed Tinamou,Crypturellus parvirostris,LC
Tinamous,Tataupa Tinamou,Crypturellus tataupa,LC
Tinamous,Red-winged Tinamou,Rhynchotus rufescens,LC
Tinamous,Huayco Tinamou,Rhynchotus maculicollis,LC
Tinamous,Taczanowski's Tinamou,Nothoprocta taczanowskii,VU
Tinamous,Ornate Tinamou,Nothoprocta ornata,LC
Tinamous,Chilean Tinamou,Nothoprocta perdicaria,LC
Tinamous,Brushland Tinamou,Nothoprocta cinerascens,LC
Tinamous,Andean Tinamou,Nothoprocta pentlandii,LC
Tinamous,Curve-billed Tinamou,Nothoprocta curvirostris,LC
Tinamous,White-bellied Nothura,Nothura boraquira,LC
Tinamous,Lesser Nothura,Nothura minor,VU
Tinamous,Darwin's Nothura,Nothura darwinii,LC
Tinamous,Spotted Nothura,Nothura maculosa,LC
Tinamous,Chaco Nothura,Nothura chacoensis,LC
Tinamous,Dwarf Tinamou,Taoniscus nanus,EN
Tinamous,Elegant Crested Tinamou,Eudromia elegans,LC
Tinamous,Quebracho Crested Tinamou,Eudromia formosa,LC
Tinamous,Puna Tinamou,Tinamotis pentlandii,LC
Tinamous,Patagonian Tinamou,Tinamotis ingoufi,LC
"Cassowaries, emus",Southern Cassowary,Casuarius casuarius,LC
"Cassowaries, emus",Dwarf Cassowary,Casuarius bennetti,LC
"Cassowaries, emus",Northern Cassowary,Casuarius unappendiculatus,LC
"Cassowaries, emus",Common Emu,Dromaius novaehollandiae,LC
"Cassowaries, emus",King Island Emu,Dromaius minor,EX
"Cassowaries, emus",Kangaroo Island Emu,Dromaius baudinianus,EX
Kiwis,Great Spotted Kiwi,Apteryx haastii,VU
Kiwis,Little Spotted Kiwi,Apteryx owenii,NT
Kiwis,Northern Brown Kiwi,Apteryx mantelli,VU
Kiwis,Southern Brown Kiwi,Apteryx australis,VU
Kiwis,Okarito Kiwi,Apteryx rowi,VU
Megapodes,Australian Brush-turkey,Alectura lathami,LC
Megapodes,Wattled Brush-turkey,Aepypodius arfakianus,LC
Megapodes,Waigeo Brush-turkey,Aepypodius bruijnii,EN
Megapodes,Red-billed Brush-turkey,Talegalla cuvieri,LC
Megapodes,Black-billed Brush-turkey,Talegalla fuscirostris,LC
Megapodes,Collared Brush-turkey,Talegalla jobiensis,LC
Megapodes,Malleefowl,Leipoa ocellata,VU
Megapodes,Maleo,Macrocephalon maleo,EN
Megapodes,Moluccan Scrubfowl,Eulipoa wallacei,VU
Megapodes,Nicobar Scrubfowl,Megapodius nicobariensis,VU
Megapodes,Philippine Scrubfowl,Megapodius cumingii,LC
Megapodes,Sula Scrubfowl,Megapodius bernsteinii,VU
Megapodes,Tanimbar Scrubfowl,Megapodius tenimberensis,NT
Megapodes,Vanuatu Scrubfowl,Megapodius layardi,VU
Megapodes,Micronesian Scrubfowl,Megapodius laperouse,EN
Megapodes,Tongan Scrubfowl,Megapodius pritchardii,EN
Megapodes,Dusky Scrubfowl,Megapodius freycinet,LC
Megapodes,Biak Scrubfowl,Megapodius geelvinkianus,VU
Megapodes,New Guinea Scrubfowl,Megapodius decollatus,LC
Megapodes,Melanesian Scrubfowl,Megapodius eremita,LC
Megapodes,Orange-footed Scrubfowl,Megapodius reinwardt,LC
"Guans, chachalacas, curassows",Black Guan,Chamaepetes unicolor,LC
"Guans, chachalacas, curassows",Sickle-winged Guan,Chamaepetes goudotii,LC
"Guans, chachalacas, curassows",Highland Guan,Penelopina nigra,VU
"Guans, chachalacas, curassows",Band-tailed Guan,Penelope argyrotis,LC
"Guans, chachalacas, curassows",Bearded Guan,Penelope barbata,NT
"Guans, chachalacas, curassows",Baudo Guan,Penelope ortoni,EN
"Guans, chachalacas, curassows",Andean Guan,Penelope montagnii,LC
"Guans, chachalacas, curassows",Marail Guan,Penelope marail,LC
"Guans, chachalacas, curassows",Rusty-margined Guan,Penelope superciliaris,LC
"Guans, chachalacas, curassows",Red-faced Guan,Penelope dabbenei,LC
"Guans, chachalacas, curassows",Spix's Guan,Penelope jacquacu,LC
"Guans, chachalacas, curassows",Crested Guan,Penelope purpurascens,LC
"Guans, chachalacas, curassows",Cauca Guan,Penelope perspicax,EN
"Guans, chachalacas, curassows",White-winged Guan,Penelope albipennis,EN
"Guans, chachalacas, curassows",Dusky-legged Guan,Penelope obscura,LC
"Guans, chachalacas, curassows",White-crested Guan,Penelope pileata,VU
"Guans, chachalacas, curassows",Chestnut-bellied Guan,Penelope ochrogaster,VU
"Guans, chachalacas, curassows",White-browed Guan,Penelope jacucaca,VU
"Guans, chachalacas, curassows",Trinidad Piping-guan,Pipile pipile,CR
"Guans, chachalacas, curassows",Blue-throated Piping-guan,Pipile cumanensis,LC
"Guans, chachalacas, curassows",White-throated Piping-guan,Pipile grayi,NT
"Guans, chachalacas, curassows",Red-throated Piping-guan,Pipile cujubi,LC
"Guans, chachalacas, curassows",Black-fronted Piping-guan,Pipile jacutinga,EN
"Guans, chachalacas, curassows",Wattled Guan,Aburria aburri,NT
"Guans, chachalacas, curassows",Horned Guan,Oreophasis derbianus,EN
"Guans, chachalacas, curassows",Plain Chachalaca,Ortalis vetula,LC
"Guans, chachalacas, curassows",Grey-headed Chachalaca,Ortalis cinereiceps,LC
"Guans, chachalacas, curassows",Chestnut-winged Chachalaca,Ortalis garrula,LC
"Guans, chachalacas, curassows",Rufous-vented Chachalaca,Ortalis ruficauda,LC
"Guans, chachalacas, curassows",Rufous-headed Chachalaca,Ortalis erythroptera,VU
"Guans, chachalacas, curassows",Rufous-bellied Chachalaca,Ortalis wagleri,LC
"Guans, chachalacas, curassows",West Mexican Chachalaca,Ortalis poliocephala,LC
"Guans, chachalacas, curassows",Chaco Chachalaca,Ortalis canicollis,LC
"Guans, chachalacas, curassows",White-bellied Chachalaca,Ortalis leucogastra,LC
"Guans, chachalacas, curassows",Colombian Chachalaca,Ortalis columbiana,LC
"Guans, chachalacas, curassows",Speckled Chachalaca,Ortalis guttata,LC
"Guans, chachalacas, curassows",East Brazilian Chachalaca,Ortalis araucuan,LC
"Guans, chachalacas, curassows",Scaled Chachalaca,Ortalis squamata,LC
"Guans, chachalacas, curassows",Little Chachalaca,Ortalis motmot,LC
"Guans, chachalacas, curassows",Buff-browed Chachalaca,Ortalis superciliaris,LC
"Guans, chachalacas, curassows",Nocturnal Curassow,Nothocrax urumutum,LC
"Guans, chachalacas, curassows",Great Curassow,Crax rubra,VU
"Guans, chachalacas, curassows",Blue-billed Curassow,Crax alberti,CR
"Guans, chachalacas, curassows",Yellow-knobbed Curassow,Crax daubentoni,NT
"Guans, chachalacas, curassows",Black Curassow,Crax alector,VU
"Guans, chachalacas, curassows",Bare-faced Curassow,Crax fasciolata,VU
"Guans, chachalacas, curassows",Belem Curassow,Crax pinima,CR
"Guans, chachalacas, curassows",Wattled Curassow,Crax globulosa,EN
"Guans, chachalacas, curassows",Red-billed Curassow,Crax blumenbachii,EN
"Guans, chachalacas, curassows",Crestless Curassow,Mitu tomentosum,NT
"Guans, chachalacas, curassows",Alagoas Curassow,Mitu mitu,EW
"Guans, chachalacas, curassows",Razor-billed Curassow,Mitu tuberosum,LC
"Guans, chachalacas, curassows",Salvin's Curassow,Mitu salvini,LC
"Guans, chachalacas, curassows",Horned Curassow,Pauxi unicornis,CR
"Guans, chachalacas, curassows",Sira Curassow,Pauxi koepckeae,CR
"Guans, chachalacas, curassows",Helmeted Curassow,Pauxi pauxi,EN
Guineafowl,Helmeted Guineafowl,Numida meleagris,LC
Guineafowl,White-breasted Guineafowl,Agelastes meleagrides,VU
Guineafowl,Black Guineafowl,Agelastes niger,LC
Guineafowl,Vulturine Guineafowl,Acryllium vulturinum,LC
Guineafowl,Plumed Guineafowl,Guttera plumifera,LC
Guineafowl,Western Crested Guineafowl,Guttera verreauxi,LC
Guineafowl,Eastern Crested Guineafowl,Guttera pucherani,LC
Guineafowl,Southern Crested Guineafowl,Guttera edouardi,LC
New World quails,Stone Partridge,Ptilopachus petrosus,LC
New World quails,Nahan's Partridge,Ptilopachus nahani,VU
New World quails,Banded Quail,Philortyx fasciatus,LC
New World quails,Mountain Quail,Oreortyx pictus,LC
New World quails,Northern Bobwhite,Colinus virginianus,NT
New World quails,Black-throated Bobwhite,Colinus nigrogularis,LC
New World quails,Spot-bellied Bobwhite,Colinus leucopogon,LC
New World quails,Crested Bobwhite,Colinus cristatus,LC
New World quails,Scaled Quail,Callipepla squamata,LC
New World quails,Elegant Quail,Callipepla douglasii,LC
New World quails,Gambel's Quail,Callipepla gambelii,LC
New World quails,California Quail,Callipepla californica,LC
New World quails,Bearded Wood-partridge,Dendrortyx barbatus,VU
New World quails,Long-tailed Wood-partridge,Dendrortyx macroura,LC
New World quails,Buffy-crowned Wood-partridge,Dendrortyx leucophrys,LC
New World quails,Marbled Wood-quail,Odontophorus gujanensis,NT
New World quails,Spot-winged Wood-quail,Odontophorus capueira,LC
New World quails,Black-eared Wood-quail,Odontophorus melanotis,LC
New World quails,Rufous-fronted Wood-quail,Odontophorus erythrops,LC
New World quails,Black-fronted Wood-quail,Odontophorus atrifrons,VU
New World quails,Chestnut Wood-quail,Odontophorus hyperythrus,NT
New World quails,Dark-backed Wood-quail,Odontophorus melanonotus,VU
New World quails,Rufous-breasted Wood-quail,Odontophorus speciosus,NT
New World quails,Tacarcuna Wood-quail,Odontophorus dialeucos,VU
New World quails,Gorgeted Wood-quail,Odontophorus strophium,VU
New World quails,Venezuelan Wood-quail,Odontophorus columbianus,NT
New World quails,Black-breasted Wood-quail,Odontophorus leucolaemus,LC
New World quails,Stripe-faced Wood-quail,Odontophorus balliviani,LC
New World quails,Starred Wood-quail,Odontophorus stellatus,LC
New World quails,Spotted Wood-quail,Odontophorus guttatus,LC
New World quails,Tawny-faced Quail,Rhynchortyx cinctus,LC
New World quails,Singing Quail,Dactylortyx thoracicus,LC
New World quails,Montezuma Quail,Cyrtonyx montezumae,LC
New World quails,Spot-breasted Quail,Cyrtonyx sallei,NT
New World quails,Ocellated Quail,Cyrtonyx ocellatus,VU
"Pheasants, partridges, turkeys, grouse",Udzungwa Forest-partridge,Xenoperdix udzungwensis,EN
"Pheasants, partridges, turkeys, grouse",Crested Partridge,Rollulus rouloul,NT
"Pheasants, partridges, turkeys, grouse",Hill Partridge,Arborophila torqueola,LC
"Pheasants, partridges, turkeys, grouse",Rufous-throated Partridge,Arborophila rufogularis,LC
"Pheasants, partridges, turkeys, grouse",White-cheeked Partridge,Arborophila atrogularis,NT
"Pheasants, partridges, turkeys, grouse",Taiwan Partridge,Arborophila crudigularis,LC
"Pheasants, partridges, turkeys, grouse",Chestnut-breasted Partridge,Arborophila mandellii,VU
"Pheasants, partridges, turkeys, grouse",Bar-backed Partridge,Arborophila brunneopectus,LC
"Pheasants, partridges, turkeys, grouse",Sichuan Partridge,Arborophila rufipectus,EN
"Pheasants, partridges, turkeys, grouse",Collared Partridge,Arborophila gingica,NT
"Pheasants, partridges, turkeys, grouse",Orange-necked Partridge,Arborophila davidi,NT
"Pheasants, partridges, turkeys, grouse",Chestnut-headed Partridge,Arborophila cambodiana,LC
"Pheasants, partridges, turkeys, grouse",Malay Partridge,Arborophila campbelli,LC
"Pheasants, partridges, turkeys, grouse",Tan-breasted Partridge,Arborophila rolli,LC
"Pheasants, partridges, turkeys, grouse",Sumatran Partridge,Arborophila sumatrana,LC
"Pheasants, partridges, turkeys, grouse",White-faced Partridge,Arborophila orientalis,VU
"Pheasants, partridges, turkeys, grouse",Chestnut-bellied Partridge,Arborophila javanica,LC
"Pheasants, partridges, turkeys, grouse",Red-billed Partridge,Arborophila rubrirostris,LC
"Pheasants, partridges, turkeys, grouse",Bornean Partridge,Arborophila hyperythra,LC
"Pheasants, partridges, turkeys, grouse",Hainan Partridge,Arborophila ardens,VU
"Pheasants, partridges, turkeys, grouse",Green-legged Partridge,Arborophila chloropus,LC
"Pheasants, partridges, turkeys, grouse",Tonkin Partridge,Arborophila tonkinensis,LC
"Pheasants, partridges, turkeys, grouse",Chestnut-necklaced Partridge,Arborophila charltonii,VU
"Pheasants, partridges, turkeys, grouse",Sabah Partridge,Arborophila graydoni,LC
"Pheasants, partridges, turkeys, grouse",Long-billed Partridge,Rhizothera longirostris,NT
"Pheasants, partridges, turkeys, grouse",Dulit Partridge,Rhizothera dulitensis,VU
"Pheasants, partridges, turkeys, grouse",Black Partridge,Melanoperdix niger,VU
"Pheasants, partridges, turkeys, grouse",Crimson-headed Partridge,Haematortyx sanguiniceps,LC
"Pheasants, partridges, turkeys, grouse",Ferruginous Partridge,Caloperdix oculeus,NT
"Pheasants, partridges, turkeys, grouse",Red Spurfowl,Galloperdix spadicea,LC
"Pheasants, partridges, turkeys, grouse",Painted Spurfowl,Galloperdix lunulata,LC
"Pheasants, partridges, turkeys, grouse",Sri Lanka Spurfowl,Galloperdix bicalcarata,LC
"Pheasants, partridges, turkeys, grouse",Congo Peafowl,Afropavo congensis,VU
"Pheasants, partridges, turkeys, grouse",Indian Peafowl,Pavo cristatus,LC
"Pheasants, partridges, turkeys, grouse",Green Peafowl,Pavo muticus,EN
"Pheasants, partridges, turkeys, grouse",Great Argus,Argusianus argus,NT
"Pheasants, partridges, turkeys, grouse",Crested Argus,Rheinardia ocellata,EN
"Pheasants, partridges, turkeys, grouse",Palawan Peacock-pheasant,Polyplectron napoleonis,VU
"Pheasants, partridges, turkeys, grouse",Malay Peacock-pheasant,Polyplectron malacense,VU
"Pheasants, partridges, turkeys, grouse",Bornean Peacock-pheasant,Polyplectron schleiermacheri,EN
"Pheasants, partridges, turkeys, grouse",Germain's Peacock-pheasant,Polyplectron germaini,NT
"Pheasants, partridges, turkeys, grouse",Hainan Peacock-pheasant,Polyplectron katsumatae,EN
"Pheasants, partridges, turkeys, grouse",Grey Peacock-pheasant,Polyplectron bicalcaratum,LC
"Pheasants, partridges, turkeys, grouse",Mountain Peacock-pheasant,Polyplectron inopinatum,VU
"Pheasants, partridges, turkeys, grouse",Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,LC
"Pheasants, partridges, turkeys, grouse",Madagascar Partridge,Margaroperdix madagarensis,LC
"Pheasants, partridges, turkeys, grouse",Common Quail,Coturnix coturnix,LC
"Pheasants, partridges, turkeys, grouse",Japanese Quail,Coturnix japonica,NT
"Pheasants, partridges, turkeys, grouse",Rain Quail,Coturnix coromandelica,LC
"Pheasants, partridges, turkeys, grouse",Harlequin Quail,Coturnix delegorguei,LC
"Pheasants, partridges, turkeys, grouse",Stubble Quail,Coturnix pectoralis,LC
"Pheasants, partridges, turkeys, grouse",New Zealand Quail,Coturnix novaezelandiae,EX
"Pheasants, partridges, turkeys, grouse",Brown Quail,Synoicus ypsilophorus,LC
"Pheasants, partridges, turkeys, grouse",Asian Blue Quail,Synoicus chinensis,LC
"Pheasants, partridges, turkeys, grouse",African Blue Quail,Synoicus adansonii,LC
"Pheasants, partridges, turkeys, grouse",Snow Mountain Quail,Anurophasis monorthonyx,NT
"Pheasants, partridges, turkeys, grouse",Caucasian Snowcock,Tetraogallus caucasicus,LC
"Pheasants, partridges, turkeys, grouse",Caspian Snowcock,Tetraogallus caspius,LC
"Pheasants, partridges, turkeys, grouse",Himalayan Snowcock,Tetraogallus himalayensis,LC
"Pheasants, partridges, turkeys, grouse",Tibetan Snowcock,Tetraogallus tibetanus,LC
"Pheasants, partridges, turkeys, grouse",Altai Snowcock,Tetraogallus altaicus,LC
"Pheasants, partridges, turkeys, grouse",Rock Partridge,Alectoris graeca,NT
"Pheasants, partridges, turkeys, grouse",Chukar,Alectoris chukar,LC
"Pheasants, partridges, turkeys, grouse",Przevalski's Partridge,Alectoris magna,LC
"Pheasants, partridges, turkeys, grouse",Philby's Partridge,Alectoris philbyi,LC
"Pheasants, partridges, turkeys, grouse",Barbary Partridge,Alectoris barbara,LC
"Pheasants, partridges, turkeys, grouse",Red-legged Partridge,Alectoris rufa,LC
"Pheasants, partridges, turkeys, grouse",Arabian Partridge,Alectoris melanocephala,LC
"Pheasants, partridges, turkeys, grouse",Snow Partridge,Lerwa lerwa,LC
"Pheasants, partridges, turkeys, grouse",See-see Partridge,Ammoperdix griseogularis,LC
"Pheasants, partridges, turkeys, grouse",Sand Partridge,Ammoperdix heyi,LC
"Pheasants, partridges, turkeys, grouse",Jungle Bush-quail,Perdicula asiatica,LC
"Pheasants, partridges, turkeys, grouse",Rock Bush-quail,Perdicula argoondah,LC
"Pheasants, partridges, turkeys, grouse",Painted Bush-quail,Perdicula erythrorhyncha,LC
"Pheasants, partridges, turkeys, grouse",Manipur Bush-quail,Perdicula manipurensis,EN
"Pheasants, partridges, turkeys, grouse",Himalayan Quail,Ophrysia superciliosa,CR
"Pheasants, partridges, turkeys, grouse",Hartlaub's Francolin,Pternistis hartlaubi,LC
"Pheasants, partridges, turkeys, grouse",Double-spurred Francolin,Pternistis bicalcaratus,LC
"Pheasants, partridges, turkeys, grouse",Heuglin's Francolin,Pternistis icterorhynchus,LC
"Pheasants, partridges, turkeys, grouse",Clapperton's Francolin,Pternistis clappertoni,LC
"Pheasants, partridges, turkeys, grouse",Harwood's Francolin,Pternistis harwoodi,NT
"Pheasants, partridges, turkeys, grouse",Red-billed Francolin,Pternistis adspersus,LC
"Pheasants, partridges, turkeys, grouse",Cape Francolin,Pternistis capensis,LC
"Pheasants, partridges, turkeys, grouse",Natal Francolin,Pternistis natalensis,LC
"Pheasants, partridges, turkeys, grouse",Hildebrandt's Francolin,Pternistis hildebrandti,LC
"Pheasants, partridges, turkeys, grouse",Ahanta Francolin,Pternistis ahantensis,LC
"Pheasants, partridges, turkeys, grouse",Scaly Francolin,Pternistis squamatus,LC
"Pheasants, partridges, turkeys, grouse",Grey-striped Francolin,Pternistis griseostriatus,LC
"Pheasants, partridges, turkeys, grouse",Yellow-necked Francolin,Pternistis leucoscepus,LC
"Pheasants, partridges, turkeys, grouse",Grey-breasted Francolin,Pternistis rufopictus,LC
"Pheasants, partridges, turkeys, grouse",Red-necked Francolin,Pternistis afer,LC
"Pheasants, partridges, turkeys, grouse",Swainson's Francolin,Pternistis swainsonii,LC
"Pheasants, partridges, turkeys, grouse",Jackson's Francolin,Pternistis jacksoni,LC
"Pheasants, partridges, turkeys, grouse",Handsome Francolin,Pternistis nobilis,LC
"Pheasants, partridges, turkeys, grouse",Mount Cameroon Francolin,Pternistis camerunensis,EN
"Pheasants, partridges, turkeys, grouse",Swierstra's Francolin,Pternistis swierstrai,EN
"Pheasants, partridges, turkeys, grouse",Chestnut-naped Francolin,Pternistis castaneicollis,LC
"Pheasants, partridges, turkeys, grouse",Black-fronted Francolin,Pternistis atrifrons,EN
"Pheasants, partridges, turkeys, grouse",Erckel's Francolin,Pternistis erckelii,LC
"Pheasants, partridges, turkeys, grouse",Djibouti Francolin,Pternistis ochropectus,CR
"Pheasants, partridges, turkeys, grouse",Black Francolin,Francolinus francolinus,LC
"Pheasants, partridges, turkeys, grouse",Painted Francolin,Francolinus pictus,LC
"Pheasants, partridges, turkeys, grouse",Chinese Francolin,Francolinus pintadeanus,LC
"Pheasants, partridges, turkeys, grouse",Grey Francolin,Francolinus pondicerianus,LC
"Pheasants, partridges, turkeys, grouse",Swamp Francolin,Francolinus gularis,VU
"Pheasants, partridges, turkeys, grouse",Crested Francolin,Dendroperdix sephaena,LC
"Pheasants, partridges, turkeys, grouse",Coqui Francolin,Peliperdix coqui,LC
"Pheasants, partridges, turkeys, grouse",White-throated Francolin,Peliperdix albogularis,LC
"Pheasants, partridges, turkeys, grouse",Schlegel's Francolin,Peliperdix schlegelii,LC
"Pheasants, partridges, turkeys, grouse",Forest Francolin,Peliperdix lathami,LC
"Pheasants, partridges, turkeys, grouse",Ring-necked Francolin,Scleroptila streptophora,NT
"Pheasants, partridges, turkeys, grouse",Red-winged Francolin,Scleroptila levaillantii,LC
"Pheasants, partridges, turkeys, grouse",Grey-winged Francolin,Scleroptila afra,LC
"Pheasants, partridges, turkeys, grouse",Finsch's Francolin,Scleroptila finschi,LC
"Pheasants, partridges, turkeys, grouse",Moorland Francolin,Scleroptila psilolaema,NT
"Pheasants, partridges, turkeys, grouse",Elgon Francolin,Scleroptila elgonensis,NT
"Pheasants, partridges, turkeys, grouse",Shelley's Francolin,Scleroptila shelleyi,LC
"Pheasants, partridges, turkeys, grouse",Whyte's Francolin,Scleroptila whytei,LC
"Pheasants, partridges, turkeys, grouse",Orange River Francolin,Scleroptila gutturalis,LC
"Pheasants, partridges, turkeys, grouse",Mountain Bamboo-partridge,Bambusicola fytchii,LC
"Pheasants, partridges, turkeys, grouse",Chinese Bamboo-partridge,Bambusicola thoracicus,LC
"Pheasants, partridges, turkeys, grouse",Taiwan Bamboo-partridge,Bambusicola sonorivox,LC
"Pheasants, partridges, turkeys, grouse",Red Junglefowl,Gallus gallus,LC
"Pheasants, partridges, turkeys, grouse",Grey Junglefowl,Gallus sonneratii,LC
"Pheasants, partridges, turkeys, grouse",Sri Lanka Junglefowl,Gallus lafayettii,LC
"Pheasants, partridges, turkeys, grouse",Green Junglefowl,Gallus varius,LC
"Pheasants, partridges, turkeys, grouse",Chestnut-throated Partridge,Tetraophasis obscurus,LC
"Pheasants, partridges, turkeys, grouse",Buff-throated Partridge,Tetraophasis szechenyii,LC
"Pheasants, partridges, turkeys, grouse",Himalayan Monal,Lophophorus impejanus,LC
"Pheasants, partridges, turkeys, grouse",Sclater's Monal,Lophophorus sclateri,VU
"Pheasants, partridges, turkeys, grouse",Chinese Monal,Lophophorus lhuysii,VU
"Pheasants, partridges, turkeys, grouse",Western Tragopan,Tragopan melanocephalus,VU
"Pheasants, partridges, turkeys, grouse",Satyr Tragopan,Tragopan satyra,NT
"Pheasants, partridges, turkeys, grouse",Blyth's Tragopan,Tragopan blythii,VU
"Pheasants, partridges, turkeys, grouse",Temminck's Tragopan,Tragopan temminckii,LC
"Pheasants, partridges, turkeys, grouse",Cabot's Tragopan,Tragopan caboti,VU
"Pheasants, partridges, turkeys, grouse",Blood Pheasant,Ithaginis cruentus,LC
"Pheasants, partridges, turkeys, grouse",Koklass Pheasant,Pucrasia macrolopha,LC
"Pheasants, partridges, turkeys, grouse",Elliot's Pheasant,Syrmaticus ellioti,NT
"Pheasants, partridges, turkeys, grouse",Mrs Hume's Pheasant,Syrmaticus humiae,NT
"Pheasants, partridges, turkeys, grouse",Mikado Pheasant,Syrmaticus mikado,NT
"Pheasants, partridges, turkeys, grouse",Copper Pheasant,Syrmaticus soemmerringii,NT
"Pheasants, partridges, turkeys, grouse",Reeves's Pheasant,Syrmaticus reevesii,VU
"Pheasants, partridges, turkeys, grouse",Golden Pheasant,Chrysolophus pictus,LC
"Pheasants, partridges, turkeys, grouse",Lady Amherst's Pheasant,Chrysolophus amherstiae,LC
"Pheasants, partridges, turkeys, grouse",Common Pheasant,Phasianus colchicus,LC
"Pheasants, partridges, turkeys, grouse",Green Pheasant,Phasianus versicolor,LC
"Pheasants, partridges, turkeys, grouse",White Eared-pheasant,Crossoptilon crossoptilon,NT
"Pheasants, partridges, turkeys, grouse",Tibetan Eared-pheasant,Crossoptilon harmani,NT
"Pheasants, partridges, turkeys, grouse",Brown Eared-pheasant,Crossoptilon mantchuricum,VU
"Pheasants, partridges, turkeys, grouse",Blue Eared-pheasant,Crossoptilon auritum,LC
"Pheasants, partridges, turkeys, grouse",Cheer Pheasant,Catreus wallichii,VU
"Pheasants, partridges, turkeys, grouse",Kalij Pheasant,Lophura leucomelanos,LC
"Pheasants, partridges, turkeys, grouse",Silver Pheasant,Lophura nycthemera,LC
"Pheasants, partridges, turkeys, grouse",Edwards's Pheasant,Lophura edwardsi,CR
"Pheasants, partridges, turkeys, grouse",Swinhoe's Pheasant,Lophura swinhoii,NT
"Pheasants, partridges, turkeys, grouse",Salvadori's Pheasant,Lophura inornata,NT
"Pheasants, partridges, turkeys, grouse",Malay Crestless Fireback,Lophura erythrophthalma,VU
"Pheasants, partridges, turkeys, grouse",Bornean Crestless Fireback,Lophura pyronota,VU
"Pheasants, partridges, turkeys, grouse",Bornean Crested Fireback,Lophura ignita,NT
"Pheasants, partridges, turkeys, grouse",Malay Crested Fireback,Lophura rufa,NT
"Pheasants, partridges, turkeys, grouse",Siamese Fireback,Lophura diardi,LC
"Pheasants, partridges, turkeys, grouse",Bulwer's Pheasant,Lophura bulweri,VU
"Pheasants, partridges, turkeys, grouse",Grey Partridge,Perdix perdix,LC
"Pheasants, partridges, turkeys, grouse",Daurian Partridge,Perdix dauurica,LC
"Pheasants, partridges, turkeys, grouse",Tibetan Partridge,Perdix hodgsoniae,LC
"Pheasants, partridges, turkeys, grouse",Wild Turkey,Meleagris gallopavo,LC
"Pheasants, partridges, turkeys, grouse",Ocellated Turkey,Meleagris ocellata,NT
"Pheasants, partridges, turkeys, grouse",Ruffed Grouse,Bonasa umbellus,LC
"Pheasants, partridges, turkeys, grouse",Hazel Grouse,Bonasa bonasia,LC
"Pheasants, partridges, turkeys, grouse",Chinese Grouse,Bonasa sewerzowi,NT
"Pheasants, partridges, turkeys, grouse",Willow Grouse,Lagopus lagopus,LC
"Pheasants, partridges, turkeys, grouse",Rock Ptarmigan,Lagopus muta,LC
"Pheasants, partridges, turkeys, grouse",White-tailed Ptarmigan,Lagopus leucura,LC
"Pheasants, partridges, turkeys, grouse",Dusky Grouse,Dendragapus obscurus,LC
"Pheasants, partridges, turkeys, grouse",Sooty Grouse,Dendragapus fuliginosus,LC
"Pheasants, partridges, turkeys, grouse",Siberian Grouse,Falcipennis falcipennis,NT
"Pheasants, partridges, turkeys, grouse",Spruce Grouse,Falcipennis canadensis,LC
"Pheasants, partridges, turkeys, grouse",Franklin's Grouse,Falcipennis franklinii,LC
"Pheasants, partridges, turkeys, grouse",Western Capercaillie,Tetrao urogallus,LC
